0,1,2,3,4,5,6,7,8,orgaos,unidade,programas,numero de acoes
META:,8,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,1
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,1
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
12.122.0815.6178,ESTÃO E MODERNIZAÇÃO DA SECRETARIA DA EDUCAÇÃO,,,5.414.207,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,PESSOAL E ENCARGOSSOCIAIS,,5.032.060,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,TESOURO DO ESTADO,5.032.060,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,OUTRAS DESPESASCORRENTES,,211.279,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,FUNDO ESPECIAL DEDESPESA,163.535,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,TESOURO DO ESTADO,47.744,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,INVESTIMENTOS,,170.868,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,FUNDO ESPECIAL DEDESPESA,170.868,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     0815    GESTÃO INSTITUCIONAL DA SECRETARIA DA EDUCAÇÃO,1
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
12.122.5118.6292,MPLEMENTAÇÃO DE AÇÕES PARA A EDUCAÇÃO NORÂNSITO,,,5.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
,,OUTRAS DESPESASCORRENTES,,5.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
,,,FUNDO ESPECIAL DEDESPESA,5.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
PRODUTO:,DUCAÇÃO PARA O TRÂNSITO,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
INDICADOR DEPRODUTO:,ÚMERO DE PROFISSIONAIS DA EDUCAÇÃO FORMADOS NA TEMÁTICA “EDUCAÇÃO NO TRÂNSITO” (unidade),,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
META:,0.000,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
roposta Orçamentária 2020,Governo do Estado de São Paulo,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
#308011 - COORDENADORIA PEDAGÓGICA#3,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,"Valores em R$ 1,00",,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08010 - ESCOLA FORMAÇÃO PROF.ED.EST.PAULO R.C.SOUZA,PROGRAMA:     5118    RESPEITO À VIDA,1
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
12.367.0800.5156,TENDIMENTO ESPECIALIZADO A ALUNOS DA EDUCAÇÃOÁSICA,,,4.097.571,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,UTRAS DESPESASORRENTES,,4.097.571,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,INCULADOS FEDERAIS,4.097.571,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
PRODUTO:,DUCAÇÃO ESPECIAL,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
INDICADOR DEPRODUTO:,ÚMERO DE ALUNOS PÚBLICO-ALVO DA EDUCAÇÃO ESPECIAL INCLUIDOS NA REDE REGULAR (unidade),,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
META:,7.736,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
12.366.0800.5745,TENDIMENTO A JOVENS E ADULTOS NA EDUCAÇÃO BÁSICAEJA E PÚBLICOS ESPECÍFICOS,,,1.000.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,UTRAS DESPESASORRENTES,,1.000.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,ESOURO DO ESTADO,1.000.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
PRODUTO:,DUCAÇÃO DE JOVENS E ADULTOS EATENDIMENTO ESCOLAR PARA PÚBLICOS ESPECÍFICOS,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
INDICADOR DEPRODUTO:,ATRÍCULAS DE EDUCAÇÃO DE JOVENS E ADULTOS E PÚBLICOS ESPECÍFICOS (unidade),,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
META:,94.455,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
roposta Orçamentária 2020,Governo do Estado de São Paulo,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
12.368.0800.6136,IMPLEMENTAÇÃO DA EDUCAÇÃO INTEGRAL NA REDEESTADUAL,,,51.010.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,OUTRAS DESPESASCORRENTES,,51.010.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,ESOURO DO ESTADO,10.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,INCULADOS FEDERAIS,51.000.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
PRODUTO:,EDUCAÇÃO INTEGRAL OFERECIDA AOS ALUNOS,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
INDICADOR DEPRODUTO:,No DE ALUNOS COM JORNADA ESCOLAR DE 7 HORAS OU MAIS (unidade),,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
META:,376.000,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
12.368.0800.6168,PROVISÃO DE MATERIAIS DIDÁTICOS E DE APOIOPEDAGÓGICO EM VERSÃO IMPRESSA/DIGITAL,,,95.883.692,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,OUTRAS DESPESASCORRENTES,,95.883.692,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,ESOURO DO ESTADO,95.883.692,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
PRODUTO:,MATERIAIS E RECURSOS DIDÁTICO-PEDAGÓGICOS OFERTADOS AOS ALUNOS E PROFISSIONAIS,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
INDICADOR DEPRODUTO:,NÚMERO DE ALUNOS QUE RECEBERAM OS MATERIAIS IMPRESSOS OU DIGITAIS DE APOIO À IMPLEMENTAÇÃO DOCURRÍCULO (unidade),,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
META:,3.271.824,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
12.368.0800.6169,"VIABILIZAÇÃO DE CURSOS DE IDIOMAS, ATIVIDADESCOMPLEMENTARES E ESCOLA ABERTA",,,31.816.027,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,OUTRAS DESPESASCORRENTES,,28.725.907,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,ESOURO DO ESTADO,8.725.907,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,INCULADOS FEDERAIS,20.000.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,INVESTIMENTOS,,3.090.120,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,ESOURO DO ESTADO,3.000.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,INCULADOS FEDERAIS,90.120,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
PRODUTO:,ATIVIDADES COMPLEMENTARES AO CURRÍCULO E CONEXÃO COM A COMUNIDADE ESCOLAR,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
INDICADOR DEPRODUTO:,NÚMERO DE ALUNOS PARTICIPANTES EM PROJETOS DE ENRIQUECIMENTO CURRICULAR (unidade),,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
META:,2.007.201,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
12.665.0800.6177,"MONITORAMENTO, MELHORIA E AVALIAÇÃO DOSRESULTADOS EDUCACIONAIS",,,40.301.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,OUTRAS DESPESASCORRENTES,,40.301.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,ESOURO DO ESTADO,40.301.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
PRODUTO:,"GESTÃO DA APRENDIZAGEM: FORMAÇÃO, ENSINO, MONITORAMENTO E AVALIAÇÃO",,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
INDICADOR DEPRODUTO:,PERCENTUAL DE ALUNOS QUE REALIZARAM A AVALIAÇÃO DE SISTEMA NO TOTAL DAS SÉRIES EM QUE SEREALIZARAM AS PROVAS NA REDE ESTADUAL (%),,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
META:,"85,73",,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
12.126.0800.6208,"RECURSOS EDUCACIONAIS, CURSOS E INICIATIVASPEDAGÓGICAS ANDRAGÓGICAS DIGITAIS",,,2.500.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,OUTRAS DESPESASCORRENTES,,2.500.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,ESOURO DO ESTADO,2.500.000,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
,,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
PRODUTO:,MATERIAIS E RECURSOS DIDÁTICO-PEDAGÓGICOS OFERTADOS AOS ALUNOS E PROFISSIONAIS,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
INDICADOR DEPRODUTO:,NÚMERO DE ALUNOS QUE RECEBERAM OS MATERIAIS IMPRESSOS OU DIGITAIS DE APOIO À IMPLEMENTAÇÃO DOCURRÍCULO (unidade),,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
META:,3.271.824,,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
AÇÃO,GRUPO DESPESA,FONTE DE RECURSO,,,,,,,ÓRGÃO:   08000 - SECRETARIA DA EDUCAÇÃO,UNIDADE:   08011 - COORDENADORIA PEDAGÓGICA,PROGRAMA:     0800    APRENDIZAGEM DE EXCELÊNCIA E EQUIDADE,8
