programa,orgao,finialidade_programa,produto,finialidade_produto,indicador_produto,acao,value_indicador_produto
1213 - MELHORIA CONTÍNUA DA GESTÃO DE PROCESSOS E EQUIPAMENTOS DACULTURA,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: MONITORAMENTO E AVALIAÇÃO DE CONTRATOS DE GESTÃO,MELHORIA DE GESTÃO,NÚMERO DE RELATÓRIOS PUBLICADOS DOS RESULTADOS DOS CONTRATOS DE GESTÃO (UNIDADE),"6369 - MONITORAMENTO, AVALIAÇÃO E PESQUISA AÇÕES CULTURAIS NO ÂMBITO DO ESTADO DE SP",2.0
1214 - MUSEUS EM CONEXÃO,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: GESTÃO DOS MUSEUS DO ESTADO DE SÃO PAULO,FINALÍSTICO,NÚMERO DE VISITANTES NOS MUSEUS DA SECRETARIA DE CULTURA E ECONOMIA CRIATIVA (UNIDADE),5732 - GESTÃO DE PATRIMÔNIO MUSEOLÓGICO,3800847.0
1215 - PATRIMÔNIO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: PRESERVAÇÃO DO PATRIMÔNIO CULTURAL,FINALÍSTICO,BENS RECONHECIDOS E PROTEGIDOS (UNIDADE),5737 - RECONHECIMENTO E PRESERVAÇÃO,45.0
1215 - PATRIMÔNIO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: PRESERVAÇÃO DO PATRIMÔNIO CULTURAL,FINALÍSTICO,INTERVENÇÕES ANALISADAS (UNIDADE),5737 - RECONHECIMENTO E PRESERVAÇÃO,1800.0
1215 - PATRIMÔNIO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: DIFUSÃO E ARTICULAÇÃO DO PATRIMÔNIO CULTURAL,FINALÍSTICO,MUNICÍPIOS ATENDIDOS (UNIDADE),"5738 - FORMAÇÃO, DIFUSÃO E PARCERIAS",120.0
1215 - PATRIMÔNIO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: DIFUSÃO E ARTICULAÇÃO DO PATRIMÔNIO CULTURAL,FINALÍSTICO,NÚMERO DE PRODUTOS ENTREGUES (UNIDADE),"5738 - FORMAÇÃO, DIFUSÃO E PARCERIAS",300.0
1218 - FOMENTO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: FOMENTO INDIRETO,FINALÍSTICO,NÚMERO DE PROJETOS APROVADOS (UNIDADE),8257 - PROGRAMA DE AÇÃO CULTURAL - INCENTIVO FISCAL,1350.0
1218 - FOMENTO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: FOMENTO INDIRETO,FINALÍSTICO,NÚMERO DE PROJETOS COM CAPTAÇÃO (UNIDADE),8257 - PROGRAMA DE AÇÃO CULTURAL - INCENTIVO FISCAL,700.0
1218 - FOMENTO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: FOMENTO DIRETO,FINALÍSTICO,NÚMERO DE MUNICÍPIOS CONTEMPLADOS (UNIDADE),1986 - PROAC - PROGRAMA DE AÇÃO CULTURAL-EDITAIS,100.0
1218 - FOMENTO CULTURAL,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: FOMENTO DIRETO,FINALÍSTICO,NÚMERO DE PROJETOS APROVADOS (UNIDADE),1986 - PROAC - PROGRAMA DE AÇÃO CULTURAL-EDITAIS,500.0
1221 - INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: PRESERVAÇÃO DO PATRIMONIO CULTURAL LATINO-AMERICANO.,FINALÍSTICO,OBRAS DE ARTE/LITERÁRIAS RESTAURADAS (%),2587 - PRESERVAÇÃO DO PATRIMÔNIO CULTURAL LATINO-AMERICANO.,5.0
1221 - INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: PRESERVAÇÃO DO PATRIMONIO CULTURAL LATINO-AMERICANO.,FINALÍSTICO,UNIDADES REFORMADAS (UNIDADE),2587 - PRESERVAÇÃO DO PATRIMÔNIO CULTURAL LATINO-AMERICANO.,3.0
1221 - INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: PROMOÇÃO DE ATIVIDADES CULTURAIS RELATIVAS À AMÉRICA LATINA,FINALÍSTICO,NÚMERO DE FREQUENTADORES DAS ATIVIDADES REALIZADAS PELO MEMORIAL DA AMÉRICA LATINA (UNIDADE),4043 - PROMOÇÃO DE ATIVIDADES CULTURAIS,779350.0
1221 - INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: PROMOÇÃO DE ATIVIDADES CULTURAIS RELATIVAS À AMÉRICA LATINA,FINALÍSTICO,NÚMERO DE UTILIZAÇÕES DE ESPAÇOS DESTINADOS PELO MEMORIAL DA AMÉRICA LATINA (UNIDADE),4043 - PROMOÇÃO DE ATIVIDADES CULTURAIS,2373.0
1221 - INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: PESQUISA E DOCÊNCIA,FINALÍSTICO,BOLSA DE PESQUISA CONCEDIDA (UNIDADE),5790 - CÁTEDRA MEMORIAL DA AMÉRICA LATINA,5.0
1221 - INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: PESQUISA E DOCÊNCIA,FINALÍSTICO,ESTUDOS FOMENTADOS ENTREGUES (UNIDADE),5790 - CÁTEDRA MEMORIAL DA AMÉRICA LATINA,5.0
1221 - INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: CENTRO BRASILEIRO DE ESTUDOS DA AMÉRICA LATINA,FINALÍSTICO,BOLSA DE PESQUISA CONCEDIDA (UNIDADE),5791 - CENTRO BRASILEIRO DE ESTUDOS DA AMÉRICA LATINA,9.0
1221 - INTEGRAÇÃO DAS CULTURAS LATINO-AMERICANAS,12000 - SECRETARIA DA CULTURA E ECONOMIA CRIATIVA,FINALÍSTICO,PRODUTO: CENTRO BRASILEIRO DE ESTUDOS DA AMÉRICA LATINA,FINALÍSTICO,ESTUDOS FOMENTADOS ENTREGUES (UNIDADE),5791 - CENTRO BRASILEIRO DE ESTUDOS DA AMÉRICA LATINA,9.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: PROPRIEDADES AVALIADAS QUANTO AO RISCO SANITÁRIO,FINALÍSTICO,NÚMERO DE PROPRIEDADES AVALIADAS (UNIDADE),4458 - PREVENÇÃO E GESTÃO DE RISCO SANITÁRIO,12960.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: PROPRIEDADES AVALIADAS QUANTO AO RISCO SANITÁRIO,FINALÍSTICO,PERCENTUAL DE PROPRIEDADES AVALIADAS (%),4458 - PREVENÇÃO E GESTÃO DE RISCO SANITÁRIO,55.72
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: FISCALIZAÇÃO SANITÁRIA,FINALÍSTICO,NÚMERO DE FISCALIZAÇÕES DE DEFESA VEGETAL E DEFESA ANIMAL (UNIDADE),6325 - VIGILÂNCIA E INSPEÇÃO SANITÁRIA,33000.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: FISCALIZAÇÃO SANITÁRIA,FINALÍSTICO,PERCENTUAL DE FISCALIZAÇÕES DE DEFESA VEGETAL E DEFESA ANIMAL REALIZADAS EM PROPRIEDADES RURAIS (%),6325 - VIGILÂNCIA E INSPEÇÃO SANITÁRIA,14.18
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: VIGILÂNCIA ATIVA PARA FEBRE AFTOSA,FINALÍSTICO,NÚMERO DE ANIMAIS SUSCEPTÍVEIS À FEBRE AFTOSA INSPECIONADOS E VISTORIADOS (UNIDADE),2595 - RETIRADA DA VACINAÇÃO CONTRA FEBRE AFTOSA - SP ÁREA LIVRE SEM VACINAÇÃO DE FEBRE,180000.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: VIGILÂNCIA ATIVA PARA FEBRE AFTOSA,FINALÍSTICO,PERCENTUAL DE ANIMAIS SUSCEPTÍVEIS A FEBRE AFTOSA INSPECIONADOS E VISTORIADOS (%),2595 - RETIRADA DA VACINAÇÃO CONTRA FEBRE AFTOSA - SP ÁREA LIVRE SEM VACINAÇÃO DE FEBRE,1.5
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: PROMOÇÃO DE ALIMENTOS SAUDÁVEIS E SEGUROS,FINALÍSTICO,NÚMERO DE FISCALIZAÇÕES EM ESTABELECIMENTOS DE PRODUÇÃO E PROCESSAMENTO DE ALIMENTOS (UNIDADE),4457 - FISCALIZAÇÃO DA INOCUIDADE DAS CADEIAS PRODUTIVAS,5800.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: PROMOÇÃO DE ALIMENTOS SAUDÁVEIS E SEGUROS,FINALÍSTICO,PERCENTUAL DE FISCALIZAÇÕES EM ESTABELECIMENTOS DE PRODUÇÃO E PROCESSAMENTO DE ALIMENTOS (%),4457 - FISCALIZAÇÃO DA INOCUIDADE DAS CADEIAS PRODUTIVAS,67.98
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: PROMOÇÃO DA SEGURANÇA E EDUCAÇÃO ALIMENTAR,FINALÍSTICO,ÍNDICE DE SATISFAÇÃO DOS BENEFICIÁRIOS (%),4783 - AÇÕES INTEGRADAS DE EDUCAÇÃO ALIMENTAR,70.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: PROMOÇÃO DA SEGURANÇA E EDUCAÇÃO ALIMENTAR,FINALÍSTICO,NÚMERO DE ATENDIMENTOS REALIZADOS (UNIDADE),4783 - AÇÕES INTEGRADAS DE EDUCAÇÃO ALIMENTAR,697200.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: SELO AGROSP,FINALÍSTICO,NÚMERO DE CERTIFICADOS CONCEDIDOS (UNIDADE),6324 - CERTIFICAÇÃO DE PRODUTOS DE ORIGEM PAULISTA,33.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: SELO AGROSP,FINALÍSTICO,NÚMERO DE PRODUTOS CERTIFICADOS (UNIDADE),6324 - CERTIFICAÇÃO DE PRODUTOS DE ORIGEM PAULISTA,12.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: MODERNIZAÇÃO DOS SISTEMAS DE ABASTECIMENTO E COMERCIALIZAÇÃO,FINALÍSTICO,NÚMERO DE CANAIS CRIADOS E/OU MODERNIZADO (UNIDADE),6326 - CONSOLIDAÇÃO DOS SISTEMAS AGROALIMENTARES,2.0
1316 - ABASTECE-SP: SEGURANÇA DO CAMPO À MESA,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: MODERNIZAÇÃO DOS SISTEMAS DE ABASTECIMENTO E COMERCIALIZAÇÃO,FINALÍSTICO,VOLUME MÉDIO DE PRODUTOS COMERCIALIZADOS NOS CANAIS ATENDIDOS (T/MÊS),6326 - CONSOLIDAÇÃO DOS SISTEMAS AGROALIMENTARES,385000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: SISTEMA ESTADUAL DE DESENVOLVIMENTO RURAL SUSTENTÁVEL,FINALÍSTICO,NÚMERO DE INSTRUMENTOS FIRMADOS (UNIDADE),4770 - PARCERIA ESTADO MUNICÍPIO PARA O DESENVOLVIMENTO RURAL LOCAL E REGIONAL,410.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: SISTEMA ESTADUAL DE DESENVOLVIMENTO RURAL SUSTENTÁVEL,FINALÍSTICO,NÚMERO DE MUNICÍPIOS CONVENIADOS PARA DESENVOLVIMENTO LOCAL E REGIONAL DOS AGRONEGÓCIOS (UNIDADE),4770 - PARCERIA ESTADO MUNICÍPIO PARA O DESENVOLVIMENTO RURAL LOCAL E REGIONAL,300.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: NOVOS CONHECIMENTOS E TECNOLOGIAS PARA INOVAÇÃO NO AGRONEGÓCIO,FINALÍSTICO,NÚMERO DE PESQUISAS EM ANDAMENTO (UNIDADE),5925 - GERAÇÃO DE CONHECIMENTO E TECNOLOGIAS PARA INOVAÇÃO NO AGRONEGÓCIO,520.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: NOVOS CONHECIMENTOS E TECNOLOGIAS PARA INOVAÇÃO NO AGRONEGÓCIO,FINALÍSTICO,RETORNOS ECONÔMICOS DAS PESQUISAS (UNIDADE),5925 - GERAÇÃO DE CONHECIMENTO E TECNOLOGIAS PARA INOVAÇÃO NO AGRONEGÓCIO,14.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: MAPEAMENTO DE ESTRADAS RURAIS,FINALÍSTICO,PERCENTUAL MUNICÍPIOS COM ESTRADAS RURAIS MAPEADAS (%),2613 - ROTAS RURAIS,20.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: MAPEAMENTO DE ESTRADAS RURAIS,FINALÍSTICO,QUILOMETROS DE ESTRADAS MAPEADAS E CODIFICADAS (KM),2613 - ROTAS RURAIS,12000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: CRÉDITO PARA O DESENVOLVIMENTO DO AGRONEGÓCIO PAULISTA,FINALÍSTICO,NÚMERO DE OPERAÇÕES DE CRÉDITO VIABILIZADAS COM RECURSOS DO FEAP (UNIDADE),1407 - CRÉDITO RURAL PARA EXPANSÃO E INVESTIMENTO,260.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: CRÉDITO PARA O DESENVOLVIMENTO DO AGRONEGÓCIO PAULISTA,FINALÍSTICO,QUANTIDADE PRODUTORES BENEFICIADOS (UNIDADE),1407 - CRÉDITO RURAL PARA EXPANSÃO E INVESTIMENTO,235.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: SUBVENÇÃO ECONÔMICA PARA O DESENVOLVIMENTO DO AGRONEGÓCIO PAULISTA,FINALÍSTICO,NÚMERO DE PRODUTORES BENEFICIADOS (UNIDADE),1327 - SUBVENÇÕES AOS PRODUTORES RURAIS,10350.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: SUBVENÇÃO ECONÔMICA PARA O DESENVOLVIMENTO DO AGRONEGÓCIO PAULISTA,FINALÍSTICO,NÚMERO DE SUBVENÇÕES CONCEDIDAS AOS PRODUTORES RURAIS COM RECURSOS DO FEAP (UNIDADE),1327 - SUBVENÇÕES AOS PRODUTORES RURAIS,11000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: TRANSFERÊNCIA DE CONHECIMENTO E TECNOLOGIAS PARA INOVAÇÃO NO AGRONEGÓCIO,FINALÍSTICO,NÚMERO DE CAPACITAÇÕES REALIZADAS (UNIDADE),4891 - TRANSFERÊNCIA DE CONHECIMENTO E TECNOLOGIAS PARA INOVAÇÃO NO AGRONEGÓCIO,590.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: TRANSFERÊNCIA DE CONHECIMENTO E TECNOLOGIAS PARA INOVAÇÃO NO AGRONEGÓCIO,FINALÍSTICO,NÚMERO DE PRODUTORES BENEFICIADOS (UNIDADE),4891 - TRANSFERÊNCIA DE CONHECIMENTO E TECNOLOGIAS PARA INOVAÇÃO NO AGRONEGÓCIO,166000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: ANÁLISES LABORATORIAIS,FINALÍSTICO,NÚMERO DE ANÁLISES LABORATORIAIS REALIZADAS (UNIDADE),4872 - ANÁLISES LABORATORIAIS PARA O DESENVOLVIMENTO SUSTENTÁVEL,370000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: ANÁLISES LABORATORIAIS,FINALÍSTICO,PERCENTUAL DE ATENDIMENTO DAS DEMANDAS DE ANÁLISES (%),4872 - ANÁLISES LABORATORIAIS PARA O DESENVOLVIMENTO SUSTENTÁVEL,100.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: INSUMOS ESTRATÉGICOS,FINALÍSTICO,PERCENTUAL DE INSUMOS COMERCIALIZADOS EM COMPARAÇÃO AOS INSUMOS PRODUZIDOS (%),"4435 - ABASTECIMENTO ESTRATÉGICO DE SEMENTES, MUDAS E MATRIZES",72.25
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: INSUMOS ESTRATÉGICOS,FINALÍSTICO,RECEITA TOTAL DA COMERCIALIZAÇÃO DE INSUMOS. (R$),"4435 - ABASTECIMENTO ESTRATÉGICO DE SEMENTES, MUDAS E MATRIZES",11000000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: MOBILIDADE RURAL,FINALÍSTICO,ESTRADAS RECUPERADAS E TRAFEGÁVEIS (KM),1195 - MELHOR CAMINHO,154.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: MOBILIDADE RURAL,FINALÍSTICO,NÚMERO DE MUNICÍPIOS CONVENIADOS (UNIDADE),1195 - MELHOR CAMINHO,25.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: PARCERIAS E PROJETOS PARA DESENVOLVIMENTO RURAL SUSTENTÁVEL,FINALÍSTICO,PARCERIAS E PROJETOS FIRMADOS (UNIDADE),8330 - PARCERIAS E PROJETOS PARA O DESENVOLVIMENTO RURAL SUSTENTÁVEL,15.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: PARCERIAS E PROJETOS PARA DESENVOLVIMENTO RURAL SUSTENTÁVEL,FINALÍSTICO,RECURSOS COM PARCERIAS E PROJETOS (R$),8330 - PARCERIAS E PROJETOS PARA O DESENVOLVIMENTO RURAL SUSTENTÁVEL,1500000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL E APOIO A ORGANIZAÇÕES RURAIS,FINALÍSTICO,NÚMERO DE ATENDIMENTOS EM ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL E ORGANIZAÇÕES RURAIS (UNIDADE),"4453 - ASSISTÊNCIA TÉCNICA, EXTENSÃO RURAL E APOIO A ORG.RURAIS P/AGRICUL.SUSTENTÁVEL",113400.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL E APOIO A ORGANIZAÇÕES RURAIS,FINALÍSTICO,NÚMERO DE BENEFICIÁRIOS ATENDIDOS PELO SERVIÇO DE ATER E ORGANIZAÇÕES RURAIS (UNIDADE),"4453 - ASSISTÊNCIA TÉCNICA, EXTENSÃO RURAL E APOIO A ORG.RURAIS P/AGRICUL.SUSTENTÁVEL",9697.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: IMPLANTAÇÃO DE PROTOCOLOS DE BOAS PRÁTICAS AGROPECUÁRIAS - PBPA,FINALÍSTICO,NÚMERO DE PROPRIEDADES COM PROTOCOLOS DE BOAS PRÁTICAS AGROPECUÁRIAS - PBPA APLICADOS (UNIDADE),4437 - ACOMPANHAMENTO DE PROPRIEDADES RURAIS VIA PROG.BOAS PRÁTICAS AGROPECUÁRIAS-PBPA,2000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: IMPLANTAÇÃO DE PROTOCOLOS DE BOAS PRÁTICAS AGROPECUÁRIAS - PBPA,FINALÍSTICO,PERCENTUAL DE PROPRIEDADES QUE RECEBERAM O PBPA E TIVERAM MELHORA NOS INDICADORES AO ANO (%),4437 - ACOMPANHAMENTO DE PROPRIEDADES RURAIS VIA PROG.BOAS PRÁTICAS AGROPECUÁRIAS-PBPA,20.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: CONSOLIDAÇÃO DAS CADEIAS PRODUTIVAS,FINALÍSTICO,NÚMERO DE PROPRIEDADES BENEFICIADAS POR PROJETOS (UNIDADE),6327 - CADASTRO E REGULARIZAÇÃO DE PRODUTORES,2000.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: CONSOLIDAÇÃO DAS CADEIAS PRODUTIVAS,FINALÍSTICO,PORCENTAGEM PROPRIEDADES BENEFICIADAS POR PROJETOS ASSISTIDOS (%),6327 - CADASTRO E REGULARIZAÇÃO DE PRODUTORES,0.86
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: TRANSIÇÃO PARA A AGROECOLOGIA E PRODUÇÃO ORGÂNICA,FINALÍSTICO,NÚMERO DE PRODUTORES ASSISTIDOS AO ANO (UNIDADE),6354 - ESTÍMULO À AGROECOLOGIA E À PRODUÇÃO ORGÂNICA,300.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,"PRODUTO: PRÁTICAS DE MANEJO P/ CONSERVAÇÃO DE SOLO, ÁGUA E BIODIVERSIDADE",FINALÍSTICO,"NÚMERO DE PROPRIEDADES ASSISTIDAS COM PRÁTICAS DE MANEJO PARA CONSERVAÇÃO DE SOLO, ÁGUA E BIODIVERSIDADE (UNIDADE)","2610 - CONSERVAÇÃO DE SOLO, ÁGUA E BIODIVERSIDADE",11752.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,"PRODUTO: PRÁTICAS DE MANEJO P/ CONSERVAÇÃO DE SOLO, ÁGUA E BIODIVERSIDADE",FINALÍSTICO,"PERCENTUAL DE PROPRIEDADES ASSISTIDAS COM PRÁTICAS DE MANEJO PARA CONSERVAÇÃO DE SOLO, ÁGUA E BIODIVERSIDADE (%)","2610 - CONSERVAÇÃO DE SOLO, ÁGUA E BIODIVERSIDADE",3.34
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: UNIDADES MODERNIZADAS,MELHORIA DE GESTÃO,NÚMERO DE AÇÕES DE MODERNIZAÇÃO (UNIDADE),2611 - MODERNIZAÇÃO DA INFRAESTRUTURA DA SECRETARIA DE AGRICULTURA E ABASTECIMENTO,6.0
1317 - AGRO-SP SUSTENTÁVEL,13000 - SECRETARIA DE AGRICULTURA E ABASTECIMENTO,FINALÍSTICO,PRODUTO: UNIDADES MODERNIZADAS,MELHORIA DE GESTÃO,NÚMERO DE UNIDADES MODERNIZADAS (UNIDADE),2611 - MODERNIZAÇÃO DA INFRAESTRUTURA DA SECRETARIA DE AGRICULTURA E ABASTECIMENTO,3.0
1601 - PLANEJAMENTO DE LOGÍSTICA E TRANSPORTES,16000 - SECRETARIA DE LOGÍSTICA E TRANSPORTES,MELHORIA DE GESTÃO DE POLÍTICAS PÚBLICAS,PRODUTO: ESTUDOS PARA DESESTATIZAÇÃO DOS AEROPORTOS,MELHORIA DE GESTÃO,PERCENTUAL DE CONCLUSÃO DOS ESTUDOS PARA DESESTATIZAÇÃO DOS AEROPORTOS (%),2585 - DESESTATIZAÇÃO DOS AEROPORTOS,100.0
